Criptomoneda,Fecha,Open,High,Low,Close
cardano,2023-06-14 19:00:00,0.272899,0.275657,0.263209,0.263209
cardano,2023-06-18 19:00:00,0.2617,0.266965,0.261127,0.261127
cardano,2023-06-22 19:00:00,0.263035,0.29026,0.263035,0.29026
cardano,2023-06-26 19:00:00,0.295871,0.295871,0.280616,0.280616
cardano,2023-06-29 19:00:00,0.286364,0.286364,0.266987,0.275736
cardano,2023-07-02 19:00:00,0.286846,0.292131,0.286846,0.291575
cardano,2023-07-06 19:00:00,0.295718,0.295718,0.280017,0.280017
cardano,2023-07-10 19:00:00,0.284154,0.290593,0.284154,0.287748
cardano,2023-07-14 19:00:00,0.292667,0.356884,0.288738,0.328667
cardano,2023-07-18 19:00:00,0.325938,0.325938,0.306933,0.306933
cardano,2023-07-22 19:00:00,0.324082,0.324082,0.308174,0.308174
cardano,2023-07-26 19:00:00,0.317034,0.317034,0.303891,0.306585
cardano,2023-07-30 19:00:00,0.307431,0.315337,0.307431,0.315337
cardano,2023-08-02 19:00:00,0.307346,0.309375,0.299005,0.299005
cardano,2023-08-06 19:00:00,0.292438,0.293599,0.291698,0.291698
cardano,2023-08-10 19:00:00,0.290181,0.301206,0.290181,0.296027
cardano,2023-08-14 19:00:00,0.293325,0.293325,0.289372,0.290452
cardano,2023-08-18 19:00:00,0.281729,0.281729,0.254361,0.263688
cardano,2023-08-22 19:00:00,0.268186,0.270308,0.258382,0.258382
dogecoin,2023-02-26 19:00:00,0.081024,0.082299,0.080887,0.082299
dogecoin,2023-02-27 19:00:00,0.081467,0.082127,0.080564,0.080564
dogecoin,2023-03-06 19:00:00,0.077033,0.077033,0.074843,0.075006
dogecoin,2023-03-10 19:00:00,0.074202,0.074202,0.066105,0.066105
dogecoin,2023-03-14 19:00:00,0.06647,0.075018,0.06647,0.075018
dogecoin,2023-03-18 19:00:00,0.070145,0.076735,0.070145,0.073426
dogecoin,2023-03-22 19:00:00,0.075276,0.077333,0.072129,0.074536
dogecoin,2023-03-26 19:00:00,0.07796,0.07796,0.074612,0.074612
dogecoin,2023-03-30 19:00:00,0.073235,0.075837,0.073235,0.074472
dogecoin,2023-04-02 19:00:00,0.07723,0.081864,0.07723,0.079328
dogecoin,2023-04-06 19:00:00,0.096152,0.096152,0.085513,0.085513
dogecoin,2023-04-10 19:00:00,0.082542,0.084851,0.081467,0.084851
dogecoin,2023-04-14 19:00:00,0.084254,0.088739,0.083523,0.088739
dogecoin,2023-04-18 19:00:00,0.089024,0.093982,0.089024,0.093982
dogecoin,2023-04-22 19:00:00,0.087667,0.087667,0.078496,0.080553
dogecoin,2023-04-26 19:00:00,0.078964,0.079981,0.078635,0.078635
dogecoin,2023-04-29 19:00:00,0.080258,0.081573,0.080258,0.081573
dogecoin,2023-05-02 19:00:00,0.079951,0.079951,0.078825,0.078825
