Criptomoneda,Fecha,Precio
ripple,2023-08-21 22:55:59.979,0.26739988032558926
ripple,2023-08-21 23:01:15.628,0.26742131439427436
ripple,2023-08-21 23:06:03.519,0.26769878223665594
ripple,2023-08-21 23:11:02.118,0.2678487164667606
ripple,2023-08-21 23:15:49.134,0.26765553775052403
ripple,2023-08-21 23:20:38.201,0.2679331090021442
ripple,2023-08-21 23:25:34.853,0.26780848616955744
ripple,2023-08-21 23:30:57.158,0.26787303896109593
ripple,2023-08-21 23:35:36.072,0.2679736372047795
ripple,2023-08-21 23:40:53.312,0.26802795096628224
ripple,2023-08-21 23:45:41.582,0.2676962035046051
ripple,2023-08-21 23:50:10.804,0.2676021393160174
ripple,2023-08-21 23:55:29.117,0.26742456380092106
ripple,2023-08-22 00:01:07.854,0.26748497230024854
ripple,2023-08-22 00:05:26.116,0.26744342945045424
ripple,2023-08-22 00:10:36.679,0.26742140350124044
ripple,2023-08-22 00:15:42.778,0.2674636371322138
ripple,2023-08-22 00:21:03.416,0.26738593273932254
ripple,2023-08-22 00:25:50.276,0.2671364587905102
ripple,2023-08-22 00:30:40.313,0.26748206767431093
ripple,2023-08-22 00:35:30.865,0.2673246047457344
ripple,2023-08-22 00:39:58.032,0.26746072183433894
ripple,2023-08-22 00:45:50.842,0.26757466400868507
ripple,2023-08-22 00:50:07.145,0.2674627870460952
ripple,2023-08-22 00:55:05.021,0.2675620775423135
ripple,2023-08-22 01:01:04.326,0.26710612715944343
ripple,2023-08-22 01:05:53.499,0.26686376098121667
ripple,2023-08-22 01:11:13.019,0.2666259522497134
ripple,2023-08-22 01:15:50.628,0.26646008072956123
ripple,2023-08-22 01:20:18.744,0.2664696193902752
ripple,2023-08-22 01:25:18.442,0.26626788503683496
ripple,2023-08-22 01:30:48.310,0.2656993971571651
ripple,2023-08-22 01:35:36.850,0.2654001928737824
ripple,2023-08-22 01:41:07.249,0.26544950694382435
ripple,2023-08-22 01:45:43.552,0.2653103423480869
ripple,2023-08-22 01:51:12.674,0.2649100286113599
